Iso_code,Year,value
4,2005,1099.0
4,2010,1672.0
4,2011,1627.0
4,2012,1773.0
4,2013,1808.0
4,2014,1796.0
4,2015,1767.0
4,2016,1757.0
4,2017,1758.0
8,1990,4458.0
8,1995,4130.0
8,2000,5443.0
8,2005,7426.0
8,2010,9928.0
8,2011,10208.0
8,2012,10370.0
8,2013,10493.0
8,2014,10701.0
8,2015,10971.0
8,2016,11357.0
8,2017,11803.0
12,1990,10298.0
12,1995,9343.0
12,2000,10258.0
12,2005,12374.0
12,2010,12921.0
12,2011,13046.0
12,2012,13226.0
12,2013,13323.0
12,2014,13549.0
12,2015,13774.0
12,2016,13940.0
12,2017,13876.0
24,1990,4761.0
24,1995,3408.0
24,2000,3892.0
24,2005,5113.0
24,2010,6360.0
24,2011,6346.0
24,2012,6645.0
24,2013,6731.0
24,2014,6813.0
24,2015,6645.0
24,2016,6258.0
24,2017,6045.0
28,1990,17473.0
28,1995,17664.0
28,2000,20791.0
28,2005,22229.0
28,2010,20660.0
28,2011,19953.0
28,2012,20389.0
28,2013,20121.0
28,2014,20821.0
28,2015,21426.0
28,2016,22394.0
28,2017,22856.0
32,1990,11373.0
32,1995,13960.0
32,2000,14975.0
32,2005,15619.0
32,2010,18912.0
32,2011,19817.0
32,2012,19392.0
32,2013,19638.0
32,2014,18935.0
32,2015,19244.0
32,2016,18645.0
32,2017,18945.0
51,1990,3742.0
51,1995,2173.0
51,2000,2925.0
51,2005,5357.0
51,2010,6703.0
51,2011,7020.0
51,2012,7505.0
51,2013,7717.0
51,2014,7954.0
51,2015,8172.0
51,2016,8159.0
51,2017,8745.0
36,1990,28669.0
36,1995,30412.0
36,2000,35393.0
36,2005,38969.0
36,2010,41530.0
36,2011,41965.0
36,2012,42848.0
36,2013,43218.0
36,2014,43672.0
36,2015,44054.0
36,2016,44606.0
36,2017,44888.0
40,1990,31342.0
40,1995,33792.0
40,2000,38844.0
40,2005,41283.0
40,2010,43336.0
40,2011,44453.0
40,2012,44552.0
40,2013,44301.0
40,2014,44247.0
40,2015,44254.0
40,2016,44671.0
40,2017,45493.0
31,1990,8790.0
31,1995,3428.0
31,2000,4604.0
31,2005,8182.0
31,2010,16216.0
31,2011,15754.0
31,2012,15889.0
31,2013,16601.0
31,2014,16854.0
31,2015,16829.0
31,2016,16132.0
31,2017,15929.0
44,1990,31006.0
44,1995,28219.0
44,2000,32973.0
44,2005,32839.0
44,2010,29707.0
44,2011,29504.0
44,2012,30079.0
44,2013,29663.0
44,2014,29343.0
44,2015,29366.0
44,2016,28585.0
44,2017,28705.0
48,1990,35113.0
48,1995,42897.0
48,2000,44943.0
48,2005,43202.0
48,2010,40571.0
48,2011,40168.0
48,2012,40969.0
48,2013,42693.0
48,2014,43848.0
48,2015,43927.0
48,2016,43732.0
48,2017,43320.0
50,1990,1326.0
50,1995,1482.0
50,2000,1692.0
50,2005,1991.0
