Iso_code,Year,value
4,1990,2193.0
4,1991,1841.0
4,1992,1739.0
4,1993,1208.0
4,1994,877.0
4,1995,1244.0
4,1996,1130.0
4,1997,1039.0
4,1998,967.0
4,1999,894.0
4,2000,817.0
4,2001,738.0
4,2002,1159.0
4,2003,1176.0
4,2004,1126.0
4,2005,1198.0
4,2006,1244.0
4,2007,1361.0
4,2008,1358.0
4,2009,1498.0
4,2010,1675.0
4,2011,1625.0
4,2012,1776.0
4,2013,1814.0
4,2014,1796.0
4,2015,1783.0
4,2016,1766.0
4,2017,1767.0
8,1990,4415.0
8,1991,3138.0
8,1992,2857.0
8,1993,3261.0
8,1994,3600.0
8,1995,4168.0
8,1996,4594.0
8,1997,4112.0
8,1998,4530.0
8,1999,5141.0
8,2000,5562.0
8,2001,6093.0
8,2002,6358.0
8,2003,6760.0
8,2004,7147.0
8,2005,7557.0
8,2006,8125.0
8,2007,8671.0
8,2008,9199.0
8,2009,9376.0
8,2010,9828.0
8,2011,10210.0
8,2012,10293.0
8,2013,10669.0
8,2014,10797.0
8,2015,11098.0
8,2016,11534.0
8,2017,11831.0
12,1990,9989.0
12,1991,9457.0
12,1992,9462.0
12,1993,9171.0
12,1994,8847.0
12,1995,8904.0
12,1996,9069.0
12,1997,9099.0
12,1998,9502.0
12,1999,9596.0
12,2000,9700.0
12,2001,10130.0
12,2002,10447.0
12,2003,11068.0
12,2004,11305.0
12,2005,11595.0
12,2006,11734.0
12,2007,12419.0
12,2008,12640.0
12,2009,12602.0
12,2010,12946.0
12,2011,12908.0
12,2012,12910.0
12,2013,12946.0
12,2014,13169.0
12,2015,13330.0
12,2016,13832.0
12,2017,13656.0
20,1990,49062.0
20,1991,48391.0
20,1992,47002.0
20,1993,44928.0
20,1994,44747.0
20,1995,45136.0
20,1996,46861.0
20,1997,51136.0
20,1998,52922.0
20,1999,54896.0
20,2000,44215.0
20,2001,44886.0
20,2002,45943.0
20,2003,49328.0
20,2004,50968.0
20,2005,52917.0
20,2006,53867.0
20,2007,52786.0
20,2008,47574.0
20,2009,45492.0
20,2010,43061.0
20,2011,41402.0
20,2012,41386.0
20,2013,42376.0
20,2014,44197.0
20,2015,45260.0
20,2016,46553.0
20,2017,47550.0
24,1990,4139.0
24,1991,4528.0
24,1992,1737.0
24,1993,1704.0
24,1994,1304.0
24,1995,2858.0
24,1996,2826.0
24,1997,3335.0
24,1998,3269.0
24,1999,2952.0
24,2000,3092.0
24,2001,3268.0
24,2002,3904.0
24,2003,3924.0
24,2004,4130.0
24,2005,4516.0
24,2006,4751.0
24,2007,5327.0
24,2008,5437.0
24,2009,5863.0
24,2010,5818.0
24,2011,5796.0
24,2012,6128.0
24,2013,6294.0
24,2014,6484.0
24,2015,6440.0
24,2016,6051.0
24,2017,5950.0
28,1990,15749.0
28,1991,16439.0
28,1992,16475.0
28,1993,17300.0
28,1994,18021.0
28,1995,16842.0
28,1996,17665.0
28,1997,18401.0
28,1998,18943.0
28,1999,19230.0
28,2000,19676.0
28,2001,18853.0
28,2002,18396.0
28,2003,19378.0
28,2004,20145.0
28,2005,21315.0
28,2006,23686.0
28,2007,25479.0
28,2008,24945.0
28,2009,21655.0
28,2010,20096.0
28,2011,19264.0
28,2012,19529.0
28,2013,19276.0
28,2014,19780.0
28,2015,20279.0
28,2016,20909.0
28,2017,21349.0
32,1990,10932.0
32,1991,11902.0
32,1992,12816.0
32,1993,13774.0
32,1994,14371.0
32,1995,13742.0
32,1996,14297.0
32,1997,15263.0
32,1998,15619.0
32,1999,14903.0
32,2000,14617.0
32,2001,13791.0
32,2002,11841.0
32,2003,12910.0
32,2004,12911.0
32,2005,13886.0
32,2006,16185.0
32,2007,17586.0
32,2008,18137.0
32,2009,16791.0
32,2010,18279.0
32,2011,19251.0
32,2012,18940.0
32,2013,19228.0
32,2014,18562.0
32,2015,18901.0
32,2016,18249.0
32,2017,18462.0
51,1990,3600.0
51,1991,3327.0
51,1992,1649.0
51,1993,1691.0
51,1994,1988.0
51,1995,2167.0
51,1996,2403.0
51,1997,2595.0
51,1998,2725.0
51,1999,2827.0
51,2000,3006.0
51,2001,3325.0
51,2002,3814.0
51,2003,4358.0
51,2004,4822.0
51,2005,5600.0
51,2006,6426.0
51,2007,7425.0
51,2008,8045.0
51,2009,6811.0
51,2010,7061.0
51,2011,7269.0
51,2012,7793.0
51,2013,8169.0
51,2014,8301.0
51,2015,8482.0
51,2016,8310.0
51,2017,9064.0
36,1990,27679.0
36,1991,27203.0
36,1992,27159.0
36,1993,28112.0
36,1994,28942.0
36,1995,29524.0
36,1996,30234.0
36,1997,31130.0
36,1998,32284.0
36,1999,33555.0
36,2000,34533.0
36,2001,34748.0
36,2002,35729.0
36,2003,36308.0
36,2004,37314.0
36,2005,37669.0
36,2006,38060.0
36,2007,39025.0
36,2008,39780.0
36,2009,39939.0
36,2010,39982.0
36,2011,40281.0
36,2012,41566.0
36,2013,42201.0
36,2014,42594.0
36,2015,43246.0
36,2016,43653.0
36,2017,43756.0
40,1990,31587.0
40,1991,32192.0
40,1992,32442.0
40,1993,32368.0
40,1994,32951.0
40,1995,33659.0
40,1996,34520.0
40,1997,35057.0
40,1998,36218.0
40,1999,37059.0
40,2000,38502.0
40,2001,38644.0
40,2002,39405.0
40,2003,39716.0
40,2004,40597.0
40,2005,41196.0
40,2006,42600.0
40,2007,43896.0
40,2008,44815.0
40,2009,42640.0
40,2010,43700.0
40,2011,44603.0
40,2012,44597.0
40,2013,44420.0
40,2014,44306.0
40,2015,43822.0
40,2016,44621.0
40,2017,45375.0
31,1990,8710.0
31,1991,8514.0
31,1992,6489.0
31,1993,4975.0
31,1994,3940.0
31,1995,3430.0
31,1996,3415.0
31,1997,3606.0
31,1998,3928.0
31,1999,4162.0
31,2000,4426.0
31,2001,4816.0
31,2002,5209.0
31,2003,5689.0
31,2004,6028.0
31,2005,7184.0
31,2006,9329.0
31,2007,11155.0
31,2008,12858.0
31,2009,14628.0
31,2010,15425.0
31,2011,14676.0
31,2012,15056.0
31,2013,15846.0
31,2014,16444.0
31,2015,16259.0
31,2016,15146.0
31,2017,15312.0
44,1990,29469.0
44,1991,27683.0
44,1992,26858.0
44,1993,26089.0
44,1994,26432.0
44,1995,31405.0
44,1996,34558.0
44,1997,28504.0
44,1998,29326.0
44,1999,31477.0
44,2000,32303.0
44,2001,32448.0
44,2002,32837.0
44,2003,31999.0
44,2004,31779.0
44,2005,32139.0
44,2006,32259.0
44,2007,32076.0
44,2008,31323.0
44,2009,29258.0
44,2010,29085.0
44,2011,28953.0
44,2012,29753.0
44,2013,29372.0
44,2014,28661.0
44,2015,28763.0
44,2016,27791.0
44,2017,28067.0
48,1990,29850.0
48,1991,40166.0
48,1992,40370.0
48,1993,42512.0
48,1994,41106.0
48,1995,43105.0
48,1996,43978.0
48,1997,42635.0
48,1998,43808.0
48,1999,43385.0
48,2000,44495.0
48,2001,43081.0
48,2002,41877.0
48,2003,42112.0
48,2004,42161.0
48,2005,42760.0
48,2006,42375.0
48,2007,42696.0
48,2008,41154.0
48,2009,37214.0
48,2010,37246.0
48,2011,35445.0
48,2012,36153.0
48,2013,37643.0
48,2014,36619.0
48,2015,42125.0
48,2016,41499.0
48,2017,41645.0
50,1990,1358.0
50,1991,1374.0
50,1992,1420.0
50,1993,1458.0
50,1994,1490.0
50,1995,1531.0
50,1996,1559.0
50,1997,1598.0
50,1998,1646.0
50,1999,1691.0
50,2000,1750.0
50,2001,1801.0
50,2002,1852.0
50,2003,1907.0
50,2004,1982.0
50,2005,2082.0
50,2006,2218.0
50,2007,2362.0
50,2008,2501.0
50,2009,2603.0
50,2010,2723.0
50,2011,2861.0
50,2012,3025.0
50,2013,3158.0
50,2014,3270.0
50,2015,3439.0
50,2016,3620.0
50,2017,3792.0
52,1990,13806.0
52,1991,13255.0
52,1992,12347.0
52,1993,12389.0
52,1994,12786.0
52,1995,12930.0
52,1996,13344.0
52,1997,13992.0
52,1998,14457.0
52,1999,14372.0
52,2000,14922.0
52,2001,14445.0
52,2002,14476.0
52,2003,14688.0
52,2004,14962.0
52,2005,15311.0
52,2006,15834.0
52,2007,16405.0
52,2008,16160.0
52,2009,15601.0
52,2010,15874.0
