Iso_code,Year,value
4,1990,0.466
4,1991,0.44
4,1992,0.431
4,1993,0.376
4,1994,0.328
4,1995,0.381
4,1996,0.366
4,1997,0.354
4,1998,0.343
4,1999,0.331
4,2000,0.317
4,2001,0.302
4,2002,0.37
4,2003,0.372
4,2004,0.366
4,2005,0.375
4,2006,0.381
4,2007,0.394
4,2008,0.394
4,2009,0.409
4,2010,0.426
4,2011,0.421
4,2012,0.435
4,2013,0.438
4,2014,0.436
4,2015,0.435
4,2016,0.434
4,2017,0.434
4,2018,0.432
8,1990,0.572
8,1991,0.521
8,1992,0.506
8,1993,0.526
8,1994,0.541
8,1995,0.563
8,1996,0.578
8,1997,0.561
8,1998,0.576
8,1999,0.595
8,2000,0.607
8,2001,0.621
8,2002,0.627
8,2003,0.637
8,2004,0.645
8,2005,0.653
8,2006,0.664
8,2007,0.674
8,2008,0.683
8,2009,0.686
8,2010,0.693
8,2011,0.699
8,2012,0.7
8,2013,0.705
8,2014,0.707
8,2015,0.711
8,2016,0.717
8,2017,0.721
8,2018,0.727
12,1990,0.695
12,1991,0.687
12,1992,0.687
12,1993,0.683
12,1994,0.677
12,1995,0.678
12,1996,0.681
12,1997,0.681
12,1998,0.688
12,1999,0.689
12,2000,0.691
12,2001,0.698
12,2002,0.702
12,2003,0.711
12,2004,0.714
12,2005,0.718
12,2006,0.72
12,2007,0.728
12,2008,0.731
12,2009,0.731
12,2010,0.735
12,2011,0.734
12,2012,0.734
12,2013,0.735
12,2014,0.737
12,2015,0.739
12,2016,0.745
12,2017,0.743
12,2018,0.743
20,1990,0.936
20,1991,0.934
20,1992,0.929
20,1993,0.923
20,1994,0.922
20,1995,0.923
20,1996,0.929
20,1997,0.942
20,1998,0.947
20,1999,0.953
20,2000,0.92
20,2001,0.922
20,2002,0.926
20,2003,0.937
20,2004,0.942
20,2005,0.947
20,2006,0.95
20,2007,0.947
20,2008,0.931
20,2009,0.924
20,2010,0.916
20,2011,0.91
20,2012,0.91
20,2013,0.914
20,2014,0.92
20,2015,0.924
20,2016,0.928
20,2017,0.931
20,2018,0.935
24,1990,0.562
24,1991,0.576
24,1992,0.431
24,1993,0.428
24,1994,0.388
24,1995,0.506
24,1996,0.505
24,1997,0.53
24,1998,0.527
24,1999,0.511
24,2000,0.518
24,2001,0.527
24,2002,0.554
24,2003,0.554
24,2004,0.562
24,2005,0.576
24,2006,0.583
24,2007,0.601
24,2008,0.604
24,2009,0.615
24,2010,0.614
24,2011,0.613
24,2012,0.622
24,2013,0.626
24,2014,0.63
24,2015,0.629
24,2016,0.62
24,2017,0.617
24,2018,0.607
28,1990,0.764
28,1991,0.771
28,1992,0.771
28,1993,0.778
28,1994,0.785
28,1995,0.774
28,1996,0.782
28,1997,0.788
28,1998,0.792
28,1999,0.794
28,2000,0.798
28,2001,0.791
28,2002,0.788
28,2003,0.796
28,2004,0.801
28,2005,0.81
28,2006,0.826
28,2007,0.837
28,2008,0.834
28,2009,0.812
28,2010,0.801
28,2011,0.795
28,2012,0.797
28,2013,0.795
28,2014,0.799
28,2015,0.802
28,2016,0.807
28,2017,0.81
28,2018,0.816
32,1990,0.709
32,1991,0.722
32,1992,0.733
32,1993,0.744
32,1994,0.75
32,1995,0.744
32,1996,0.75
32,1997,0.76
32,1998,0.763
32,1999,0.756
32,2000,0.753
32,2001,0.744
32,2002,0.721
32,2003,0.734
32,2004,0.734
32,2005,0.745
32,2006,0.768
32,2007,0.781
32,2008,0.786
32,2009,0.774
32,2010,0.787
32,2011,0.795
32,2012,0.792
32,2013,0.794
32,2014,0.789
32,2015,0.792
32,2016,0.787
