Iso_code,Year,infant_mortality,infant_mortality_male,infant_mortality_female,life_expectancy,life_expectancy_male,life_expectancy_female,mortality_rate_under5,mortality_rate_under5_male,mortality_rate_under5_female,mortality_rate_1to4,mortality_rate_1to4_male,mortality_rate_1to4_female
705,2036,3.39,3.76,3.00,80.90,77.51,84.52,3.93,4.39,3.44,0.54,0.63,0.44
705,2022,3.76,4.22,3.27,79.11,75.58,82.89,4.43,5.02,3.81,0.68,0.80,0.54
705,2023,3.73,4.18,3.25,79.26,75.73,83.02,4.39,4.97,3.78,0.67,0.79,0.53
705,2024,3.70,4.14,3.22,79.40,75.89,83.15,4.35,4.91,3.74,0.65,0.77,0.52
705,2025,3.67,4.10,3.20,79.55,76.04,83.29,4.31,4.86,3.71,0.64,0.76,0.51
705,2026,3.64,4.07,3.18,79.68,76.19,83.41,4.26,4.81,3.68,0.63,0.74,0.50
705,2027,3.61,4.03,3.16,79.81,76.33,83.53,4.23,4.77,3.66,0.63,0.74,0.50
705,2028,3.58,4.00,3.14,79.94,76.47,83.65,4.19,4.72,3.63,0.61,0.72,0.49
705,2029,3.56,3.97,3.12,80.08,76.61,83.77,4.15,4.67,3.60,0.60,0.70,0.48
705,2030,3.53,3.93,3.10,80.21,76.75,83.89,4.12,4.63,3.58,0.60,0.70,0.48
705,2031,3.51,3.90,3.08,80.33,76.88,84.00,4.09,4.58,3.55,0.58,0.68,0.47
705,2032,3.48,3.87,3.07,80.44,77.01,84.10,4.05,4.54,3.53,0.57,0.67,0.46
705,2033,3.46,3.84,3.05,80.56,77.14,84.21,4.02,4.50,3.51,0.57,0.66,0.46
705,2034,3.43,3.81,3.03,80.68,77.26,84.32,3.98,4.46,3.48,0.55,0.65,0.45
705,2035,3.41,3.78,3.02,80.80,77.39,84.43,3.95,4.42,3.46,0.54,0.64,0.44
705,1992,8.52,9.14,7.85,73.42,69.61,77.51,10.02,10.65,9.34,1.51,1.52,1.50
705,2037,3.37,3.73,2.99,81.01,77.62,84.62,3.90,4.35,3.42,0.53,0.62,0.43
705,2038,3.35,3.70,2.97,81.11,77.74,84.71,3.87,4.31,3.40,0.53,0.61,0.43
705,2039,3.33,3.68,2.96,81.22,77.86,84.80,3.84,4.28,3.38,0.51,0.60,0.42
705,2040,3.31,3.65,2.94,81.33,77.97,84.90,3.82,4.24,3.36,0.51,0.59,0.42
705,2041,3.29,3.63,2.93,81.42,78.07,84.98,3.79,4.21,3.34,0.50,0.58,0.41
705,2042,3.27,3.60,2.92,81.51,78.18,85.07,3.77,4.18,3.33,0.50,0.58,0.41
705,2043,3.25,3.58,2.90,81.61,78.28,85.15,3.74,4.15,3.31,0.49,0.57,0.41
705,2044,3.24,3.56,2.89,81.70,78.38,85.23,3.72,4.12,3.29,0.49,0.56,0.40
705,2045,3.22,3.54,2.88,81.79,78.48,85.32,3.70,4.09,3.28,0.48,0.55,0.40
705,2046,3.20,3.52,2.87,81.88,78.58,85.40,3.67,4.06,3.26,0.47,0.54,0.39
705,2047,3.19,3.50,2.86,81.96,78.67,85.47,3.66,4.04,3.25,0.47,0.54,0.39
705,2048,3.17,3.47,2.85,82.05,78.76,85.55,3.63,4.01,3.23,0.46,0.54,0.38
705,2049,3.15,3.45,2.83,82.13,78.86,85.62,3.61,3.98,3.22,0.46,0.53,0.39
705,2050,3.14,3.43,2.82,82.22,78.95,85.70,3.60,3.96,3.20,0.46,0.53,0.38
705,2020,3.82,4.29,3.32,78.82,75.26,82.62,4.52,5.13,3.87,0.70,0.84,0.55
705,1991,8.12,10.39,5.71,73.29,69.43,77.40,9.65,11.99,7.17,1.54,1.62,1.47
705,1993,6.74,7.99,5.40,73.37,69.40,77.59,8.18,9.38,6.90,1.45,1.40,1.51
705,1994,6.42,6.08,6.77,73.86,70.09,77.77,7.96,8.08,7.83,1.55,2.01,1.07
705,1995,5.46,5.90,5.00,74.52,70.84,78.39,6.58,7.62,5.49,1.12,1.73,0.49
705,1996,4.71,5.95,3.38,74.46,70.79,78.38,5.98,7.33,4.53,1.28,1.39,1.15
705,1997,5.08,5.56,4.57,75.11,71.29,79.13,6.11,6.67,5.52,1.04,1.12,0.95
705,1998,5.16,6.24,4.01,75.21,71.46,79.24,6.53,7.76,5.21,1.37,1.53,1.20
705,1999,4.46,4.70,4.21,75.59,71.96,79.46,5.54,6.18,4.87,1.08,1.49,0.66
705,2000,4.72,5.39,3.99,75.09,71.21,79.21,5.84,6.75,4.85,1.13,1.37,0.86
705,2001,4.66,5.32,3.96,75.27,71.45,79.39,5.74,6.64,4.79,1.09,1.33,0.83
705,2002,4.61,5.25,3.92,75.51,71.70,79.57,5.67,6.54,4.74,1.07,1.30,0.82
705,2003,4.55,5.18,3.88,75.72,71.94,79.74,5.58,6.43,4.68,1.04,1.26,0.80
705,2004,4.50,5.11,3.84,75.93,72.18,79.92,5.51,6.33,4.62,1.01,1.23,0.78
705,2005,4.45,5.05,3.80,76.14,72.42,80.10,5.43,6.23,4.57,0.99,1.19,0.77
705,2006,4.40,4.99,3.77,76.33,72.63,80.29,5.35,6.14,4.51,0.96,1.16,0.74
705,2007,4.35,4.93,3.73,76.53,72.84,80.47,5.29,6.06,4.46,0.94,1.14,0.73
705,2008,4.30,4.87,3.69,76.73,73.04,80.66,5.21,5.97,4.40,0.92,1.11,0.71
705,2009,4.25,4.82,3.65,76.92,73.25,80.84,5.14,5.89,4.35,0.89,1.08,0.70
705,2010,4.21,4.76,3.62,77.12,73.45,81.03,5.08,5.81,4.29,0.87,1.06,0.67
705,2011,4.17,4.71,3.58,77.30,73.64,81.20,5.02,5.73,4.25,0.86,1.02,0.67
705,2012,4.12,4.66,3.55,77.48,73.83,81.36,4.95,5.66,4.20,0.83,1.00,0.65
705,2013,4.08,4.61,3.52,77.66,74.02,81.53,4.89,5.59,4.16,0.82,0.98,0.64
705,2014,4.04,4.56,3.49,77.83,74.21,81.69,4.83,5.52,4.11,0.80,0.96,0.62
705,2015,4.00,4.51,3.46,78.01,74.40,81.86,4.77,5.44,4.07,0.78,0.93,0.61
705,2016,3.97,4.47,3.43,78.17,74.58,82.01,4.73,5.38,4.03,0.76,0.91,0.60
705,2017,3.93,4.42,3.40,78.34,74.75,82.16,4.68,5.32,3.99,0.75,0.90,0.59
705,2018,3.89,4.38,3.37,78.50,74.92,82.31,4.62,5.25,3.95,0.73,0.87,0.58
705,2019,3.86,4.34,3.35,78.66,75.09,82.47,4.57,5.19,3.91,0.71,0.85,0.56
705,2021,3.79,4.26,3.29,78.97,75.42,82.75,4.48,5.08,3.84,0.69,0.83,0.55
428,2036,4.13,4.50,3.73,78.40,74.25,82.75,4.92,5.43,4.36,0.79,0.93,0.63
428,2021,4.93,5.34,4.51,75.58,71.10,80.28,6.05,6.66,5.42,1.12,1.33,0.91
428,2022,4.87,5.27,4.45,75.79,71.34,80.46,5.97,6.57,5.33,1.10,1.31,0.88
428,2023,4.81,5.21,4.38,76.00,71.57,80.65,5.88,6.47,5.24,1.07,1.27,0.86
428,2024,4.74,5.15,4.32,76.20,71.80,80.83,5.78,6.38,5.16,1.04,1.24,0.84
428,2025,4.68,5.08,4.26,76.41,72.02,81.02,5.69,6.28,5.07,1.01,1.21,0.81
428,2026,4.63,5.03,4.21,76.60,72.24,81.19,5.61,6.20,5.00,0.99,1.18,0.79
428,2027,4.57,4.97,4.15,76.80,72.45,81.36,5.53,6.11,4.92,0.96,1.15,0.77
428,2028,4.51,4.91,4.10,76.99,72.67,81.52,5.45,6.03,4.85,0.94,1.13,0.75
428,2029,4.46,4.85,4.05,77.18,72.88,81.69,5.37,5.94,4.78,0.92,1.10,0.73
428,2030,4.41,4.80,3.99,77.37,73.09,81.86,5.31,5.86,4.71,0.90,1.07,0.72
428,2031,4.36,4.75,3.95,77.54,73.29,82.01,5.23,5.78,4.65,0.87,1.03,0.70
428,2032,4.31,4.70,3.90,77.72,73.49,82.16,5.16,5.71,4.59,0.86,1.01,0.69
428,2033,4.26,4.65,3.86,77.89,73.68,82.32,5.09,5.64,4.53,0.84,0.99,0.67
428,2034,4.21,4.60,3.81,78.07,73.88,82.47,5.02,5.56,4.47,0.82,0.96,0.66
428,2035,4.17,4.55,3.77,78.24,74.07,82.62,4.96,5.49,4.41,0.80,0.94,0.64
428,1990,17.29,19.93,14.54,69.06,64.00,74.33,21.18,24.21,18.03,3.96,4.37,3.54
428,2037,4.08,4.46,3.69,78.56,74.43,82.89,4.84,5.36,4.31,0.76,0.90,0.62
428,2038,4.04,4.41,3.66,78.71,74.61,83.02,4.79,5.30,4.26,0.75,0.89,0.60
428,2039,4.00,4.37,3.62,78.87,74.79,83.16,4.73,5.24,4.21,0.73,0.87,0.59
428,2040,3.96,4.32,3.58,79.02,74.96,83.29,4.68,5.17,4.16,0.72,0.85,0.58
428,2041,3.93,4.28,3.55,79.17,75.13,83.41,4.64,5.12,4.12,0.71,0.84,0.57
428,2042,3.89,4.24,3.52,79.31,75.29,83.53,4.58,5.06,4.08,0.70,0.82,0.56
428,2043,3.85,4.20,3.49,79.45,75.45,83.65,4.53,5.01,4.04,0.68,0.81,0.55
428,2044,3.82,4.17,3.46,79.59,75.61,83.77,4.48,4.95,3.99,0.66,0.78,0.53
428,2045,3.78,4.13,3.42,79.73,75.77,83.89,4.43,4.90,3.95,0.65,0.77,0.53
428,2046,3.75,4.09,3.40,79.86,75.92,84.00,4.39,4.85,3.92,0.64,0.76,0.52
428,2047,3.72,4.06,3.37,79.99,76.07,84.10,4.35,4.80,3.88,0.63,0.74,0.51
428,2048,3.69,4.02,3.34,80.12,76.22,84.21,4.31,4.75,3.85,0.63,0.73,0.51
428,2049,3.66,3.99,3.31,80.25,76.37,84.32,4.27,4.70,3.81,0.61,0.71,0.50
428,2050,3.63,3.95,3.29,80.37,76.51,84.43,4.23,4.66,3.78,0.61,0.71,0.49
428,2019,5.07,5.47,4.65,75.14,70.62,79.89,6.26,6.87,5.61,1.19,1.41,0.96
428,1989,14.36,16.75,11.81,69.90,65.20,74.91,18.02,21.22,14.60,3.71,4.55,2.82
428,1991,16.15,18.47,13.71,68.95,63.69,74.46,20.20,22.74,17.52,4.11,4.35,3.86
428,1992,19.09,21.18,16.88,68.19,62.54,74.14,22.84,25.48,20.04,3.82,4.39,3.21
428,1993,15.05,16.64,13.41,66.72,60.46,73.20,19.59,21.62,17.49,4.61,5.06,4.14
428,1994,15.19,15.97,14.38,65.55,59.00,72.43,18.37,19.92,16.76,3.23,4.01,2.41
428,1995,19.51,21.69,17.13,66.02,59.86,72.69,22.70,25.06,20.12,3.25,3.44,3.04
428,1996,15.27,15.68,14.82,68.45,62.89,74.46,18.74,19.90,17.47,3.53,4.29,2.69
428,1997,12.77,13.40,12.09,69.00,63.71,74.70,17.34,18.90,15.66,4.63,5.57,3.61
428,1998,14.81,16.86,12.65,68.71,63.27,74.45,18.23,20.90,15.42,3.47,4.11,2.81
428,1999,11.60,10.75,12.49,69.43,64.20,74.93,13.97,13.36,14.60,2.39,2.64,2.14
428,2000,10.60,12.01,9.12,70.00,64.56,75.70,12.57,14.10,10.97,1.99,2.12,1.87
428,2001,10.87,11.31,10.42,69.82,64.37,75.45,13.39,14.49,12.27,2.55,3.22,1.87
428,2002,9.94,11.27,8.55,70.45,66.09,75.04,14.41,15.99,12.76,4.52,4.77,4.25
428,2003,9.62,11.10,8.07,70.33,65.30,75.61,12.73,14.29,11.09,3.14,3.23,3.04
428,2004,9.22,8.93,9.53,70.63,65.56,75.94,11.18,11.47,10.86,1.97,2.56,1.34
428,2005,7.94,8.05,7.83,70.44,64.92,76.19,9.71,10.17,9.24,1.78,2.14,1.42
428,2006,7.62,8.17,7.04,70.37,64.97,75.98,9.42,10.36,8.43,1.81,2.21,1.40
428,2007,8.68,8.23,9.15,70.59,65.28,76.09,10.23,10.26,10.20,1.56,2.05,1.06
428,2008,6.68,8.06,5.25,71.73,66.42,77.24,7.99,9.83,6.09,1.32,1.78,0.84
428,2009,7.29,7.50,7.07,72.33,67.42,77.41,8.87,9.40,8.32,1.59,1.91,1.26
428,2010,5.32,5.47,5.16,72.59,67.85,77.67,6.77,6.77,6.78,1.46,1.31,1.63
428,2011,6.45,6.85,6.02,73.29,68.49,78.33,7.74,8.38,7.06,1.30,1.54,1.05
428,2012,5.65,6.04,5.23,73.42,68.76,78.38,7.11,7.74,6.43,1.47,1.71,1.21
428,2013,5.51,5.87,5.14,73.83,69.22,78.59,6.91,7.50,6.31,1.41,1.64,1.18
428,2014,5.44,5.82,5.04,74.01,69.42,78.83,6.81,7.41,6.17,1.37,1.60,1.14
428,2015,5.36,5.76,4.95,74.23,69.62,79.07,6.69,7.32,6.04,1.34,1.57,1.10
428,2016,5.29,5.68,4.87,74.46,69.87,79.27,6.59,7.20,5.93,1.31,1.53,1.07
428,2017,5.21,5.61,4.80,74.69,70.13,79.48,6.46,7.09,5.82,1.26,1.49,1.02
428,2018,5.14,5.54,4.72,74.92,70.38,79.68,6.37,6.98,5.72,1.23,1.45,1.00
428,2020,5.00,5.40,4.58,75.37,70.87,80.09,6.15,6.76,5.51,1.16,1.37,0.93
496,2036,12.06,14.14,9.88,74.93,70.88,79.18,14.11,16.59,11.51,2.07,2.49,1.65
496,2021,18.67,21.55,15.65,71.08,66.87,75.51,22.21,25.67,18.58,3.61,4.21,2.98
496,2022,18.12,20.94,15.15,71.36,67.16,75.78,21.53,24.91,17.96,3.47,4.05,2.85
496,2023,17.58,20.34,14.67,71.64,67.45,76.05,20.87,24.18,17.37,3.34,3.92,2.74
496,2024,17.05,19.77,14.20,71.92,67.73,76.32,20.21,23.46,16.80,3.21,3.76,2.64
496,2025,16.54,19.20,13.75,72.20,68.02,76.58,19.58,22.77,16.24,3.09,3.64,2.52
496,2026,16.06,18.67,13.33,72.46,68.30,76.84,18.99,22.11,15.72,2.97,3.51,2.42
496,2027,15.60,18.14,12.92,72.73,68.57,77.09,18.43,21.47,15.22,2.87,3.39,2.33
496,2028,15.14,17.64,12.53,72.99,68.84,77.34,17.86,20.85,14.74,2.76,3.27,2.24
496,2029,14.70,17.14,12.14,73.25,69.11,77.59,17.33,20.25,14.27,2.67,3.16,2.16
496,2030,14.28,16.66,11.77,73.50,69.38,77.83,16.81,19.66,13.81,2.57,3.05,2.06
496,2031,13.88,16.21,11.43,73.75,69.64,78.06,16.33,19.11,13.40,2.48,2.95,1.99
496,2032,13.49,15.77,11.10,73.99,69.89,78.29,15.85,18.57,12.99,2.39,2.84,1.91
496,2033,13.12,15.34,10.77,74.23,70.14,78.52,15.40,18.05,12.60,2.31,2.75,1.85
496,2034,12.75,14.93,10.46,74.47,70.39,78.75,14.95,17.54,12.22,2.22,2.65,1.78
496,2035,12.39,14.52,10.16,74.70,70.64,78.97,14.51,17.05,11.85,2.15,2.57,1.71
496,1990,82.99,87.43,78.38,58.87,56.99,60.81,121.51,124.25,118.67,42.01,40.35,43.72
496,2037,11.74,13.77,9.61,75.15,71.11,79.39,13.72,16.14,11.18,2.00,2.40,1.59
496,2038,11.42,13.41,9.34,75.37,71.35,79.60,13.33,15.70,10.86,1.94,2.32,1.53
496,2039,11.12,13.05,9.08,75.59,71.58,79.81,12.98,15.27,10.55,1.88,2.25,1.48
496,2040,10.82,12.71,8.83,75.81,71.81,80.01,12.61,14.86,10.25,1.81,2.18,1.43
