Iso_code,Year,midyear_population
705,2013,1992690
705,2025,1907560
705,2024,1917093
705,2023,1926279
705,2022,1935080
705,2021,1943453
705,2020,1951358
705,2019,1958778
705,2018,1965706
705,2017,1972126
705,2016,1978029
705,2015,1983412
705,2014,1988292
705,2026,1897695
705,2012,1996617
705,2011,2000092
705,2010,2003136
705,2009,2005692
705,2008,2007711
705,2007,2009245
705,2006,2010347
705,2005,2011070
705,2004,2011473
705,2003,2011604
705,2002,2011497
705,2001,2011179
705,2038,1760799
705,2050,1596947
705,2049,1611437
705,2048,1625834
705,2047,1640111
705,2046,1654241
705,2045,1668205
705,2044,1682001
705,2043,1695625
705,2042,1709059
705,2041,1722292
705,2040,1735320
705,2039,1748152
705,1951,1483131
705,2037,1773262
705,2036,1785538
705,2035,1797624
705,2034,1809532
705,2033,1821271
705,2032,1832834
705,2031,1844208
705,2030,1855374
705,2029,1866322
705,2028,1877044
705,2027,1887512
705,1962,1582962
705,1974,1713184
705,1973,1703373
705,1972,1694510
705,1971,1685624
705,1970,1675739
705,1969,1666805
705,1968,1657849
705,1967,1646912
705,1966,1632029
705,1965,1620052
705,1964,1606083
705,1963,1595028
705,1999,2009653
705,1961,1571851
705,1960,1557756
705,1959,1548561
705,1958,1540332
705,1957,1533070
705,1956,1524799
705,1955,1517499
705,1954,1509187
705,1953,1497875
705,1952,1489518
705,1950,1467759
705,1976,1734454
705,2000,2010557
705,1998,2010807
705,1997,2011612
705,1996,2007429
705,1995,2002827
705,1994,2001036
705,1993,1999926
705,1992,1999210
705,1991,1999480
705,1990,1991210
705,1989,1976217
705,1988,1961775
705,1987,1945870
705,1986,1932129
705,1985,1914220
705,1984,1896413
705,1983,1878555
705,1982,1861252
705,1981,1839256
705,1980,1833000
705,1979,1772854
705,1978,1759395
705,1977,1746919
705,1975,1722000
428,2013,2029430
428,2025,1772796
428,2024,1794858
428,2023,1816752
428,2022,1838441
428,2021,1859926
428,2020,1881232
428,2019,1902424
428,2018,1923559
428,2017,1944643
428,2016,1965686
428,2015,1986705
428,2014,2007730
428,2026,1750604
428,2012,2051103
428,2011,2076493
428,2010,2115339
428,2009,2161153
428,2008,2197506
428,2007,2220509
428,2006,2238543
428,2005,2258990
428,2004,2283318
428,2003,2308159
428,2002,2330425
428,2001,2350481
428,2038,1490096
428,2050,1249812
428,2049,1269430
428,2048,1289125
428,2047,1308884
428,2046,1328694
428,2045,1348547
428,2044,1368460
428,2043,1388458
428,2042,1408553
428,2041,1428752
428,2040,1449058
428,2039,1469495
428,1951,1950888
428,2037,1510872
428,2036,1531818
428,2035,1552933
428,2034,1574236
428,2033,1595748
428,2032,1617462
428,2031,1639365
428,2030,1661437
428,2029,1683653
428,2028,1705968
428,2027,1728310
428,1962,2172829
428,1974,2442473
428,1973,2421355
428,1972,2401244
428,1971,2381641
428,1970,2361159
428,1969,2341871
428,1968,2322031
428,1967,2301371
428,1966,2278721
428,1965,2253604
428,1964,2227495
428,1963,2199396
428,1999,2385906
428,1961,2145744
428,1960,2115183
428,1959,2088934
428,1958,2072119
428,1957,2055709
428,1956,2026333
428,1955,2002111
428,1954,1990651
428,1953,1976212
428,1952,1964319
428,1950,1936498
428,1976,2476760
428,2000,2368427
428,1998,2405422
428,1997,2428216
428,1996,2452526
428,1995,2480257
428,1994,2516781
428,1993,2560457
428,1992,2613118
428,1991,2650832
428,1990,2663390
428,1989,2667309
428,1988,2664068
428,1987,2648965
428,1986,2626695
428,1985,2606405
428,1984,2587996
428,1983,2569826
428,1982,2552229
428,1981,2536976
428,1980,2524543
428,1979,2514167
428,1978,2504508
428,1977,2491407
428,1975,2461606
496,2013,2912192
496,2025,3301176
496,2024,3277423
496,2023,3252195
496,2022,3225568
496,2021,3197529
496,2020,3168026
496,2019,3136737
496,2018,3103428
496,2017,3068243
496,2016,3031330
496,2015,2992908
496,2014,2953190
496,2026,3323506
496,2012,2869964
496,2011,2826886
496,2010,2783419
496,2009,2741412
496,2008,2702400
496,2007,2666190
496,2006,2632747
496,2005,2602416
496,2004,2574146
496,2003,2546571
496,2002,2518612
496,2001,2489156
496,2038,3538730
496,2050,3669264
496,2049,3664348
496,2048,3658188
496,2047,3650797
496,2046,3642195
496,2045,3632423
496,2044,3621568
496,2043,3609737
496,2042,3597018
496,2041,3583479
496,2040,3569192
496,2039,3554238
496,1951,788937
496,2037,3522790
496,2036,3506492
496,2035,3489868
496,2034,3472938
496,2033,3455766
496,2032,3438409
496,2031,3420800
496,2030,3402798
496,2029,3384187
496,2028,3364818
496,2027,3344643
496,1962,1010280
496,1974,1402600
496,1973,1360100
496,1972,1320500
496,1971,1283400
496,1970,1247600
496,1969,1214100
496,1968,1181000
496,1967,1149500
496,1966,1119400
496,1965,1090200
496,1964,1060600
496,1963,1031200
496,1999,2432721
496,1961,981849
496,1960,954652
496,1959,928632
496,1958,904296
496,1957,882134
496,1956,862063
496,1955,844046
496,1954,828075
496,1953,813728
496,1952,800663
496,1950,778555
496,1976,1487150
496,2000,2460815
496,1998,2402673
496,1997,2372034
496,1996,2340705
496,1995,2306417
496,1994,2272058
496,1993,2242277
