Iso_code,Year,midyear_population,midyear_population_male,midyear_population_female
24,1982,7614535,3809807,3804728
50,2033,180676697,88032297,92644400
404,2021,50551368,25213980,25337388
426,2019,1966253,972719,993534
414,2008,2433192,1436845,996347
831,2011,65068,32183,32885
807,2016,2100025,1046049,1053976
498,1996,4333973,2071161,2262812
140,1975,2057734,989412,1068322
352,2040,396202,196722,199480
804,2043,38770152,18134489,20635663
496,2028,3364818,1629525,1735293
528,2032,17863029,8787753,9075276
800,1988,15397260,7595462,7801798
8,2007,2991575,1483207,1508368
388,2009,2825928,1397515,1428413
232,1989,2973468,1459311,1514157
178,2041,8522457,4258782,4263675
408,2001,22977355,11131355,11846000
616,2015,38562189,18674320,19887869
152,1994,13952144,6855293,7096851
800,2032,61751944,30711956,31039988
740,1995,427744,214864,212880
426,1985,1551635,758556,793079
796,1996,15719,7974,7745
554,2033,4982163,2466773,2515390
148,1996,7051000,3366294,3684706
540,2015,271615,135814,135801
666,2028,4840,2308,2532
64,2010,699847,366829,333018
288,2006,21583020,10674041,10908979
4,2003,25005388,12724466,12280922
796,2011,44819,22654,22165
234,2046,56741,28887,27854
324,1991,6552474,3245913,3306561
454,2006,13278889,6562476,6716413
854,2032,30758794,15323883,15434911
768,2001,5134565,2548511,2586054
740,1983,379144,188534,190610
356,2010,1173108018,608633795,564474223
368,1997,20965466,10596473,10368993
724,2028,52073583,25706884,26366699
534,2039,51454,25291,26163
316,2023,173494,87566,85928
426,2017,1958042,967841,990201
324,1993,6989107,3467842,3521265
862,2017,31304016,15590439,15713577
4,2040,54716673,27566296,27150377
332,1982,5709417,2803171,2906246
204,2047,21105888,10651405,10454483
480,2006,1253425,617863,635562
659,2029,56373,28183,28190
288,2020,29340248,14460542,14879706
288,2042,45517845,22362481,23155364
862,2040,38233208,19066836,19166372
360,2029,283589166,141989159,141600007
704,2010,89571130,44644262,44926868
440,1993,3554527,1671349,1883178
499,1999,720412,358409,362003
12,1995,28321697,14300766,14020931
795,2031,6066182,2994693,3071489
659,1990,41659,20426,21233
233,2049,934322,453980,480342
894,2043,32791505,16370606,16420899
266,1990,938084,463324,474760
670,2033,98800,50102,48698
184,2050,5460,2701,2759
296,1986,63772,31683,32089
32,2028,48373752,23964533,24409219
332,2004,8900109,4392270,4507839
466,1978,6591756,3220767,3370989
705,2008,2007711,977688,1030023
706,2027,13969192,7013060,6956132
208,2041,5680472,2761444,2919028
174,1991,440471,216229,224242
120,2025,30508842,15282470,15226372
620,1996,10099918,4869974,5229944
882,2004,182772,94555,88217
480,1985,1020544,508037,512507
231,1984,40072730,20166219,19906511
798,2018,11147,5511,5636
418,2034,8844378,4381300,4463078
296,2000,85121,42332,42789
706,1985,6458539,3148571,3309968
208,2050,5575147,2704619,2870528
192,1991,10696589,5381140,5315449
768,2028,10458210,5186749,5271461
212,2014,73449,37071,36378
8,1992,3072011,1562973,1509038
798,1996,9843,4777,5066
96,2049,633578,296699,336879
729,2050,59129521,29335105,29794416
690,2005,83886,42229,41657
508,2021,29312011,14381949,14930062
834,1981,19187724,9440360,9747364
250,2046,69860111,34143720,35716391
616,1993,38467745,18730052,19737693
634,2000,639905,421965,217940
686,2020,15736368,7614586,8121782
768,2004,5578206,2767250,2810956
92,2049,58909,27372,31537
756,2025,8665531,4277304,4388227
470,2036,414494,206148,208346
191,2036,3885212,1879379,2005833
674,2022,34649,16743,17906
800,2001,23637605,11727649,11909956
270,1990,951025,473025,478000
418,2035,8932862,4424221,4508641
64,1985,529200,279057,250143
392,2029,121311030,58515990,62795040
438,2025,40505,20191,20314
446,2036,643249,298868,344381
854,2000,11587750,5653019,5934731
591,2025,4117882,2066768,2051114
854,1984,6985039,3376876,3608163
320,1985,7580844,3811305,3769539
84,2037,480134,243021,237113
20,1994,63826,33522,30304
834,2022,61790674,30859378,30931296
16,2017,54069,26956,27113
270,1996,1202416,597788,604628
583,2045,79963,38143,41820
144,2011,21283913,10419840,10864073
670,2038,97489,49240,48249
288,2001,19366666,9603711,9762955
858,2039,3497943,1700027,1797916
218,2034,19368691,9570591,9798100
500,2030,5686,2839,2847
688,2036,6447725,3136924,3310801
4,2025,41117073,20798422,20318651
604,1994,23423635,11790402,11633233
426,2028,1960961,974215,986746
64,2003,635757,335325,300432
500,2048,5736,2875,2861
566,1957,38091921,19596170,18495751
748,1982,649807,315758,334049
28,2045,120448,56011,64437
116,1979,6729212,3108677,3620535
512,2006,2748203,1531506,1216697
704,2033,106969589,53712343,53257246
652,2012,7332,3898,3434
662,2000,153302,75066,78236
800,1990,16548955,8172010,8376945
180,2022,93224780,46526475,46698305
44,2045,371104,182055,189049
470,2047,400081,198664,201417
340,2011,8143564,4095913,4047651
520,2005,10014,5031,4983
414,2046,3774545,2108992,1665553
222,2041,6313488,3011567,3301921
598,2016,6791317,3467846,3323471
662,1989,136499,66807,69692
831,2007,63744,31376,32368
64,1956,191164,97587,93577
710,2004,47438933,23414005,24024928
20,2000,65099,34013,31086
732,2021,668726,331961,336765
96,2005,361110,183616,177494
690,1980,63954,32072,31882
768,1992,3972812,1976712,1996100
360,1988,175334751,87256573,88078178
496,2018,3103428,1517430,1585998
520,2035,10607,4808,5799
646,2014,12337138,6149385,6187753
798,2022,11537,5719,5818
660,2021,18424,8695,9729
704,2015,94348835,47209648,47139187
784,2039,7919167,5274237,2644930
64,1960,212052,108170,103882
288,2013,25199609,12437036,12762573
533,2030,132132,62320,69812
478,2042,5875635,2829131,3046504
132,2048,735708,356362,379346
191,2027,4084711,1973377,2111334
894,2019,16929953,8458434,8471519
434,2010,6110364,3174147,2936217
624,2035,2399855,1181192,1218663
703,2034,5258433,2546535,2711898
580,2003,76617,33952,42665
642,1993,22765757,11180639,11585118
584,2004,57760,29486,28274
51,2050,2468311,1244152,1224159
108,2026,15257828,7607840,7649988
554,1987,3352493,1659970,1692523
320,2032,19270532,9481327,9789205
68,2047,15649325,7739031,7910294
400,2050,11411275,5640483,5770792
178,2020,5293070,2653336,2639734
652,1993,5722,3069,2653
688,2048,5953503,2894748,3058755
660,2030,21363,9914,11449
834,2031,77990655,39015878,38974777
762,2006,6944062,3453662,3490400
686,1982,5902850,2926598,2976252
756,2038,9184910,4518465,4666445
196,2011,1120489,571793,548696
31,2012,9493600,4689954,4803646
780,2004,1239328,626297,613031
832,2036,107296,53064,54232
450,2017,25054161,12524058,12530103
204,2050,22118545,11156881,10961664
203,2026,10687374,5269560,5417814
642,1998,22511376,11015529,11495847
626,1991,763770,394555,369215
580,2041,73165,35396,37769
276,2025,79226209,38748428,40477781
704,2031,105999682,53235794,52763888
566,2018,195300343,99561312,95739031
792,1984,49830462,25219386,24611076
372,2002,3933126,1955326,1977800
428,2002,2330425,1072833,1257592
222,2019,6202330,2978614,3223716
584,2010,65859,33558,32301
152,2034,19450278,9537646,9912632
434,2032,7923011,4064116,3858895
250,2008,64220250,31377755,32842495
800,2014,35918915,17841632,18077283
116,2000,12351152,5964180,6386972
180,1989,37872107,18649520,19222587
44,2011,313312,153294,160018
144,2000,19041167,9404095,9637072
112,2029,9181486,4269628,4911858
470,2005,398534,197777,200757
531,2022,152316,73197,79119
566,1967,50952753,26232418,24720335
376,1995,5334866,2664862,2670004
450,1988,10957343,5468836,5488507
233,1997,1413351,652877,760474
4,1990,13568282,6923599,6644683
250,1994,59548134,29017843,30530291
784,2047,8028744,5287688,2741056
876,2045,15768,8015,7753
233,1990,1569322,733648,835674
348,1993,10330031,4950123,5379908
90,2014,609883,311440,298443
384,1976,7334543,3776165,3558378
156,2036,1384061185,701898421,682162764
400,2016,8185384,4133713,4051671
408,2019,25513061,12391869,13121192
196,1988,713026,356211,356815
104,1975,30329791,15113860,15215931
600,2019,7108524,3562872,3545652
450,1996,13948484,6945812,7002672
348,2016,9874784,4706449,5168335
674,2044,36035,17303,18732
332,1989,6586139,3229419,3356720
678,2000,140687,69931,70756
688,2004,7522560,3669217,3853343
60,2018,71176,34422,36754
516,2043,3814265,1882288,1931977
332,2012,9793363,4828417,4964946
578,2039,6130259,3085399,3044860
328,2001,785421,395931,389490
68,2019,11473676,5677471,5796205
442,1996,415481,204012,211469
144,1989,16687488,8339937,8347551
634,2022,2504258,1929801,574457
724,1999,40251435,19708009,20543426
833,2017,88815,44477,44338
458,1994,19835020,10086023,9748997
308,2018,112207,56879,55328
516,2004,2017940,1002667,1015273
404,2035,60243196,30031584,30211612
320,2010,13550440,6685453,6864987
426,2003,1926345,944702,981643
231,2048,219887116,108914163,110972953
70,2011,3882359,1891816,1990543
776,2021,105879,53114,52765
404,1981,16987469,8458195,8529274
372,2027,5505503,2744800,2760703
882,1993,166119,87574,78545
702,2005,4605741,2270320,2335421
308,2015,110694,56049,54645
454,2034,33133784,16410639,16723145
308,2003,103320,51820,51500
226,2037,1178348,591166,587182
332,1998,7957222,3915419,4041803
660,1992,8977,4492,4485
20,2007,80757,41922,38835
703,2025,5405646,2621980,2783666
854,2020,21977701,10945685,11032016
426,1978,1288584,624738,663846
408,2041,27083069,13146991,13936078
752,1993,8769284,4333174,4436110
688,2019,7045162,3433990,3611172
586,2033,251233750,128129353,123104397
276,2009,81837700,40140539,41697161
430,2005,2930083,1460240,1469843
426,2046,1906772,954754,952018
36,2039,27554998,13792239,13762759
36,1989,16680597,8327631,8352966
204,2001,6839006,3396412,3442594
233,1999,1389756,640249,749507
400,2009,6375040,3253768,3121272
500,1992,10495,5223,5272
430,2040,7042361,3500360,3542001
807,2046,2025289,1001814,1023475
643,2049,130448195,60699298,69748897
51,2047,2542324,1276608,1265716
504,2044,41051141,19951086,21100055
231,2045,207684347,102903108,104781239
858,1986,3032257,1478792,1553465
364,1996,65115779,33168473,31947306
304,2039,53571,26950,26621
328,2004,778038,392427,385611
498,2048,2328805,1161728,1167077
643,2009,142461491,65977506,76483985
798,2045,13143,6619,6524
4,2023,39311066,19894448,19416618
12,2042,52795174,26630120,26165054
262,2043,1311663,596583,715080
818,2004,71210963,36380383,34830580
686,1991,7553972,3691983,3861989
534,2022,44976,22203,22773
524,2042,33500859,16575965,16924894
156,1999,1260658633,649431980,611226653
428,2024,1794858,833500,961358
760,1997,15284321,7781729,7502592
430,1984,2095774,1066707,1029067
492,2046,30964,14875,16089
659,1982,43375,20969,22406
516,1997,1743326,872948,870378
796,1995,14940,7587,7353
860,2004,26268097,13064635,13203462
214,2015,10478756,5304806,5173950
670,2006,105685,53448,52237
368,1992,17896515,9032414,8864101
258,1995,216844,112166,104678
208,2048,5598638,2716887,2881751
231,2037,175778809,87159688,88619121
112,1999,10063643,4715922,5347721
807,2005,2045262,1021663,1023599
591,1989,2347202,1191641,1155561
324,1965,3313707,1588193,1725514
860,2027,32266605,16026578,16240027
308,1985,93059,45251,47808
508,2014,24692144,12043510,12648634
496,2009,2741412,1351733,1389679
470,2019,418313,208451,209862
616,2017,38476269,18627073,19849196
398,2003,15882506,7667215,8215291
626,2030,1689057,837310,851747
584,1990,45828,23443,22385
422,1995,3672123,1813004,1859119
854,2025,25384628,12646992,12737636
