Iso_code,Year,crude_birth_rate,crude_death_rate,net_migration,rate_natural_increase,growth_rate
705,2036,7.59,14.65,0.23,-0.706,-0.682
705,2022,7.52,12.28,0.32,-0.476,-0.444
705,2023,7.43,12.41,0.31,-0.498,-0.467
705,2024,7.35,12.55,0.31,-0.52,-0.489
705,2025,7.3,12.68,0.3,-0.538,-0.508
705,2026,7.26,12.84,0.3,-0.558,-0.529
705,2027,7.24,13,0.29,-0.576,-0.547
705,2028,7.23,13.16,0.28,-0.593,-0.565
705,2029,7.25,13.33,0.28,-0.608,-0.581
705,2030,7.27,13.5,0.27,-0.623,-0.596
705,2031,7.31,13.69,0.26,-0.638,-0.611
705,2032,7.36,13.88,0.26,-0.652,-0.626
705,2033,7.42,14.07,0.25,-0.665,-0.64
705,2034,7.48,14.26,0.24,-0.678,-0.653
705,2035,7.54,14.44,0.24,-0.69,-0.667
705,1992,9.99,9.67,-0.19,0.032,0.014
705,2037,7.65,14.85,0.22,-0.72,-0.698
705,2038,7.7,15.04,0.22,-0.734,-0.713
705,2039,7.74,15.24,0.21,-0.75,-0.729
705,2040,7.78,15.43,0.2,-0.765,-0.745
705,2041,7.8,15.62,0.19,-0.782,-0.762
705,2042,7.82,15.82,0.19,-0.8,-0.78
705,2043,7.84,16,0.18,-0.816,-0.798
705,2044,7.85,16.17,0.17,-0.832,-0.815
705,2045,7.85,16.33,0.16,-0.848,-0.832
705,2046,7.85,16.5,0.16,-0.865,-0.849
705,2047,7.85,16.66,0.15,-0.881,-0.866
705,2048,7.85,16.81,0.14,-0.896,-0.882
705,2049,7.85,16.95,0.13,-0.91,-0.897
705,2050,7.85,17.08,0.13,-0.923,-0.91
705,2020,7.74,12,0.33,-0.426,-0.393
705,1991,10.79,9.66,-1.54,0.113,-0.041
705,1993,9.9,10.01,0.69,-0.011,0.058
705,1994,9.73,9.67,0.48,0.006,0.053
705,1995,9.48,9.47,1.25,0.001,0.126
705,1996,9.36,9.28,3.25,0.008,0.333
705,1997,9.03,9.41,1.21,-0.038,0.083
705,1998,8.88,9.47,-1.05,-0.059,-0.164
705,1999,8.72,9.4,1.16,-0.068,0.049
705,2000,9.04,9.93,1.3,-0.089,0.041
705,2001,8.69,9.97,1.49,-0.128,0.021
705,2002,8.77,10.02,1.37,-0.125,0.011
705,2003,8.84,10.08,1.25,-0.124,0
705,2004,8.9,10.15,1.12,-0.125,-0.013
705,2005,8.95,10.22,1,-0.127,-0.027
705,2006,8.98,10.31,0.88,-0.133,-0.045
705,2007,9,10.41,0.76,-0.141,-0.065
705,2008,8.99,10.51,0.64,-0.152,-0.088
705,2009,8.97,10.62,0.52,-0.165,-0.113
705,2010,8.92,10.74,0.4,-0.182,-0.142
705,2011,8.85,10.87,0.39,-0.202,-0.163
705,2012,8.76,11,0.39,-0.224,-0.185
705,2013,8.66,11.12,0.38,-0.246,-0.209
705,2014,8.54,11.25,0.37,-0.271,-0.233
705,2015,8.42,11.37,0.37,-0.295,-0.258
705,2016,8.28,11.5,0.36,-0.322,-0.285
705,2017,8.15,11.62,0.35,-0.347,-0.313
705,2018,8.01,11.75,0.35,-0.374,-0.34
705,2019,7.87,11.87,0.34,-0.4,-0.367
705,2021,7.62,12.14,0.33,-0.452,-0.419
428,2036,7.75,16.25,-5.23,-0.85,-1.373
428,2021,8.94,14.66,-5.78,-0.572,-1.15
428,2022,8.7,14.73,-5.71,-0.603,-1.174
428,2023,8.46,14.82,-5.64,-0.636,-1.2
428,2024,8.24,14.91,-5.58,-0.667,-1.225
428,2025,8.05,15.01,-5.53,-0.696,-1.249
428,2026,7.88,15.1,-5.48,-0.722,-1.271
428,2027,7.74,15.21,-5.45,-0.747,-1.292
428,2028,7.62,15.3,-5.42,-0.768,-1.31
428,2029,7.54,15.38,-5.39,-0.784,-1.323
428,2030,7.48,15.45,-5.36,-0.797,-1.333
428,2031,7.46,15.54,-5.33,-0.808,-1.341
428,2032,7.47,15.65,-5.31,-0.818,-1.349
428,2033,7.52,15.78,-5.29,-0.826,-1.355
428,2034,7.59,15.92,-5.27,-0.833,-1.36
428,2035,7.67,16.07,-5.25,-0.84,-1.365
428,1990,14.29,13.13,-4.84,0.116,-0.367
428,2037,7.82,16.42,-5.21,-0.86,-1.381
