Iso_code,Year,value
4,2010,4.8
4,2011,-2.6
4,2012,-2.0
4,2013,-2.1
4,2014,-0.6
4,2015,-0.4
4,2016,-1.2
4,2017,-2.5
4,2018,-5.3
8,1995,40.5
8,2000,51.1
8,2005,50.5
8,2010,67.5
8,2011,70.3
8,2012,70.2
8,2013,72.2
8,2014,73.2
8,2015,68.1
8,2016,66.4
8,2017,63.6
8,2018,58.8
12,1990,78.4
12,1995,45.0
12,2000,28.3
12,2005,7.3
12,2010,-6.6
12,2011,-4.5
12,2012,-2.1
12,2013,3.0
12,2014,18.0
12,2015,40.0
12,2016,54.4
12,2017,67.9
12,2018,72.7
24,1995,52.7
24,2000,-14.8
24,2005,1.9
24,2010,19.0
24,2011,15.5
24,2012,13.9
24,2013,17.1
24,2014,21.1
24,2015,27.0
24,2016,27.3
24,2017,29.7
24,2018,24.8
28,1990,53.4
28,1995,59.2
28,2000,76.4
28,2005,75.5
28,2010,99.3
28,2011,99.3
28,2012,91.8
28,2013,90.6
28,2014,80.9
28,2015,64.9
28,2016,62.3
28,2017,60.2
28,2018,57.8
32,1990,32.4
32,1995,27.9
32,2000,34.5
32,2005,34.9
32,2010,25.3
32,2011,26.5
32,2012,30.6
32,2013,33.2
32,2014,34.4
32,2015,40.4
32,2016,37.9
32,2017,38.9
51,1995,9.1
51,2000,11.5
51,2005,8.8
51,2010,27.8
51,2011,36.4
51,2012,41.4
51,2013,43.1
51,2014,51.3
51,2015,48.3
51,2016,54.4
51,2017,58.3
51,2018,62.5
36,1990,70.4
36,1995,80.5
36,2000,93.4
36,2005,113.3
36,2010,153.8
36,2011,151.2
36,2012,149.9
36,2013,155.3
36,2014,164.4
36,2015,175.7
36,2016,182.5
36,2017,176.2
36,2018,176.8
40,2005,126.0
40,2010,135.1
40,2011,132.1
40,2012,135.3
40,2013,130.4
40,2014,125.4
40,2015,123.5
40,2016,128.8
40,2017,125.1
40,2018,123.9
31,1995,12.5
31,2000,9.6
31,2005,11.2
31,2010,23.0
31,2011,19.2
31,2012,24.4
31,2013,23.1
31,2014,27.3
31,2015,40.7
31,2016,28.1
31,2017,12.4
31,2018,13.2
44,1990,58.5
44,1995,74.8
44,2000,52.7
44,2005,59.5
44,2010,82.5
44,2011,83.6
44,2012,79.8
44,2013,83.1
44,2014,79.7
44,2015,74.9
44,2016,75.6
44,2017,85.5
48,1990,-1.0
48,1995,28.4
48,2000,33.9
48,2005,41.8
48,2010,67.1
48,2011,72.2
48,2012,72.2
48,2013,79.2
48,2014,76.2
48,2015,90.9
50,1990,21.6
50,1995,26.7
50,2000,30.2
50,2005,47.7
50,2010,57.4
50,2011,61.3
50,2012,60.0
50,2013,57.9
50,2014,60.0
50,2015,60.2
50,2016,61.4
50,2017,63.7
50,2018,64.1
52,1990,51.1
52,1995,54.5
52,2000,58.2
52,2005,92.2
112,1995,15.0
112,2000,19.2
112,2005,21.8
112,2010,42.6
112,2011,30.8
112,2012,31.0
112,2013,37.9
112,2014,41.3
112,2015,49.8
112,2016,47.0
112,2017,41.7
112,2018,40.7
56,2005,100.8
56,2010,113.7
56,2011,114.0
56,2012,113.2
56,2013,112.1
56,2014,154.5
56,2015,147.7
56,2016,153.0
56,2017,135.0
56,2018,136.8
84,1990,26.8
84,1995,43.7
84,2000,43.5
84,2005,61.5
84,2010,69.6
84,2011,65.1
84,2012,63.6
84,2013,58.9
84,2014,57.9
84,2015,66.6
84,2016,70.7
84,2017,71.0
84,2018,71.4
204,1990,21.1
204,1995,10.9
204,2000,7.4
204,2005,10.1
204,2010,18.6
204,2011,21.8
204,2012,20.0
204,2013,21.0
204,2014,22.8
204,2015,22.9
204,2016,26.4
204,2017,28.4
204,2018,27.0
64,1990,-1.0
64,1995,9.9
64,2000,2.9
64,2005,21.8
64,2010,45.6
64,2011,50.5
64,2012,52.5
64,2013,49.8
64,2014,46.9
64,2015,51.8
64,2016,53.3
64,2017,59.6
64,2018,64.0
68,1990,23.0
68,1995,48.7
68,2000,62.0
68,2005,71.3
68,2010,49.4
68,2011,48.5
68,2012,48.7
68,2013,50.1
68,2014,55.2
68,2015,67.1
68,2016,76.3
68,2017,78.5
68,2018,83.6
70,2000,37.4
70,2005,38.9
70,2010,61.4
70,2011,62.4
70,2012,64.8
70,2013,65.1
70,2014,65.2
70,2015,63.9
70,2016,62.8
70,2017,62.4
70,2018,62.0
72,1990,-45.6
72,1995,-35.8
72,2000,-65.7
72,2005,-5.5
72,2010,10.9
72,2011,8.0
72,2012,15.0
72,2013,12.9
72,2014,8.3
72,2015,12.4
72,2016,16.1
72,2017,17.1
72,2018,19.8
76,1990,87.6
76,1995,56.1
76,2000,70.7
76,2005,76.2
76,2010,93.4
76,2011,95.2
76,2012,101.1
76,2013,100.0
76,2014,103.4
76,2015,107.1
76,2016,111.2
76,2017,111.4
76,2018,113.7
96,2000,38.6
96,2005,10.4
96,2010,22.7
96,2011,7.2
96,2012,12.0
96,2013,18.4
96,2014,25.5
96,2015,40.0
96,2016,35.5
96,2017,28.6
96,2018,28.4
100,1995,47.8
100,2000,17.1
100,2005,39.3
100,2010,67.0
100,2011,66.7
100,2012,67.3
100,2013,69.8
100,2014,62.4
100,2015,60.3
100,2016,54.3
100,2017,54.0
100,2018,54.3
854,1990,12.2
854,1995,5.6
854,2000,14.3
