Iso_code,Year,value
4,1995,692.0
4,2000,445.0
4,2005,665.0
4,2010,963.0
4,2011,944.0
4,2012,1044.0
4,2013,1082.0
4,2014,1088.0
4,2015,1096.0
4,2016,1099.0
4,2017,1112.0
4,2018,1102.0
8,1995,3032.0
8,2000,3865.0
8,2005,5321.0
8,2010,7446.0
8,2011,7672.0
8,2012,8366.0
8,2013,8374.0
8,2014,8379.0
8,2015,9115.0
8,2016,9186.0
8,2017,9423.0
8,2018,9780.0
12,1995,1820.0
12,2000,2063.0
12,2005,2738.0
12,2010,3654.0
12,2011,3855.0
12,2012,4081.0
12,2013,4182.0
12,2014,4059.0
12,2015,4072.0
12,2016,4186.0
12,2017,4093.0
12,2018,4104.0
24,1995,2424.0
24,2000,2621.0
24,2005,3828.0
24,2010,4922.0
24,2011,4902.0
24,2012,5185.0
24,2013,5329.0
24,2014,5494.0
24,2015,5462.0
24,2016,5136.0
24,2017,5054.0
24,2018,4720.0
32,1995,9107.0
32,2000,9352.0
32,2005,8684.0
32,2010,12214.0
32,2011,12778.0
32,2012,12676.0
32,2013,12797.0
32,2014,12317.0
32,2015,12671.0
32,2016,12406.0
32,2017,12680.0
32,2018,12085.0
51,1995,1574.0
51,2000,1766.0
51,2005,3511.0
51,2010,4344.0
51,2011,5069.0
51,2012,5431.0
51,2013,5599.0
51,2014,5701.0
51,2015,5911.0
51,2016,5682.0
51,2017,6193.0
51,2018,6341.0
36,1995,21060.0
36,2000,25310.0
36,2005,28355.0
36,2010,31708.0
36,2011,32083.0
36,2012,33196.0
36,2013,33768.0
36,2014,34196.0
36,2015,34832.0
36,2016,35366.0
36,2017,35586.0
36,2018,35897.0
40,1995,23695.0
40,2000,24132.0
40,2005,26373.0
40,2010,33291.0
40,2011,30325.0
40,2012,30569.0
40,2013,30646.0
40,2014,34593.0
40,2015,30603.0
40,2016,31404.0
40,2017,31931.0
40,2018,32617.0
31,1995,2625.0
31,2000,3430.0
31,2005,4456.0
31,2010,10466.0
31,2011,9578.0
31,2012,9260.0
31,2013,9835.0
31,2014,11253.0
31,2015,11048.0
31,2016,9780.0
31,2017,9881.0
31,2018,9850.0
44,1995,24513.0
44,2000,25827.0
44,2005,25458.0
44,2010,23499.0
44,2011,23423.0
44,2012,24105.0
44,2013,23833.0
44,2014,23051.0
44,2015,23043.0
44,2016,22181.0
44,2017,22649.0
44,2018,22827.0
48,1995,19977.0
48,2000,21799.0
48,2005,25514.0
48,2010,27568.0
48,2011,26208.0
48,2012,16254.0
48,2013,17045.0
48,2014,16697.0
48,2015,19272.0
48,2016,18973.0
48,2017,19077.0
48,2018,18418.0
50,1995,533.0
50,2000,650.0
50,2005,813.0
50,2010,1223.0
50,2011,1309.0
50,2012,1410.0
50,2013,1668.0
50,2014,1757.0
50,2015,1880.0
50,2016,2011.0
50,2017,2210.0
50,2018,2373.0
52,1995,10174.0
52,2000,11827.0
52,2005,12334.0
52,2010,13366.0
52,2011,12781.0
52,2012,13166.0
52,2013,13279.0
52,2014,13457.0
52,2015,13416.0
52,2016,13541.0
52,2017,13780.0
52,2018,13686.0
112,1995,4353.0
112,2000,6196.0
112,2005,9168.0
112,2010,12850.0
112,2011,13237.0
112,2012,13519.0
112,2013,13473.0
112,2014,13986.0
112,2015,13201.0
112,2016,13061.0
112,2017,13515.0
112,2018,13923.0
56,1995,22625.0
56,2000,27009.0
56,2005,29283.0
56,2010,32583.0
56,2011,31936.0
56,2012,32278.0
56,2013,32670.0
56,2014,32745.0
56,2015,33214.0
56,2016,33629.0
56,2017,34453.0
56,2018,34929.0
84,1995,2907.0
84,2000,3428.0
84,2005,4213.0
84,2010,4794.0
84,2011,4959.0
84,2012,5576.0
84,2013,5488.0
84,2014,5505.0
84,2015,5704.0
84,2016,5782.0
84,2017,5609.0
84,2018,5665.0
204,1995,1052.0
204,2000,1271.0
204,2005,1406.0
204,2010,1588.0
204,2011,1573.0
204,2012,1595.0
204,2013,1664.0
204,2014,1727.0
