Iso_code,Year,value
4,2005,28.2
4,2010,48.8
4,2011,49.0
4,2012,55.2
4,2013,58.3
4,2014,59.9
4,2015,60.8
4,2016,62.2
4,2017,63.8
8,1990,14.7
8,1995,13.2
8,2000,16.8
8,2005,22.4
8,2010,28.9
8,2011,29.7
8,2012,30.1
8,2013,30.4
8,2014,30.9
8,2015,31.6
8,2016,32.7
8,2017,33.9
12,1990,265.3
12,1995,268.7
12,2000,318.4
12,2005,410.2
12,2010,464.9
12,2011,478.3
12,2012,494.4
12,2013,508.1
12,2014,527.4
12,2015,547.2
12,2016,565.3
12,2017,574.3
24,1990,56.4
24,1995,47.5
24,2000,63.8
24,2005,99.4
24,2010,148.6
24,2011,153.7
24,2012,166.8
24,2013,175.1
24,2014,183.6
24,2015,185.3
24,2016,180.5
24,2017,180.2
28,1990,1.1
28,1995,1.2
28,2000,1.6
28,2005,1.8
28,2010,1.8
28,2011,1.8
28,2012,1.8
28,2013,1.8
28,2014,1.9
28,2015,2.0
28,2016,2.1
28,2017,2.2
32,1990,371.0
32,1995,486.2
32,2000,552.2
32,2005,607.5
32,2010,771.4
32,2011,817.7
32,2012,809.3
32,2013,828.8
32,2014,807.9
32,2015,830.0
32,2016,812.7
32,2017,834.4
51,1990,13.2
51,1995,7.0
51,2000,9.0
51,2005,16.0
51,2010,19.3
51,2011,20.2
51,2012,21.6
51,2013,22.4
51,2014,23.2
51,2015,23.9
51,2016,24.0
51,2017,25.8
36,1990,489.2
36,1995,549.6
36,2000,677.9
36,2005,794.8
36,2010,915.0
36,2011,937.5
36,2012,974.1
36,2013,999.6
36,2014,1025.2
36,2015,1049.2
36,2016,1079.1
36,2017,1104.3
40,1990,240.6
40,1995,268.6
40,2000,311.2
40,2005,339.7
40,2010,362.4
40,2011,373.0
40,2012,375.6
40,2013,375.7
40,2014,378.1
40,2015,382.5
40,2016,390.3
40,2017,400.2
31,1990,62.9
31,1995,26.3
31,2000,37.1
31,2005,68.7
31,2010,146.8
31,2011,144.5
31,2012,147.7
31,2013,156.3
31,2014,160.7
31,2015,162.4
31,2016,157.4
31,2017,157.0
44,1990,7.9
44,1995,7.9
44,2000,9.8
44,2005,10.7
44,2010,10.5
44,2011,10.6
44,2012,10.9
44,2013,10.9
44,2014,10.9
44,2015,11.0
44,2016,10.8
44,2017,11.0
48,1990,17.4
48,1995,24.2
48,2000,29.9
48,2005,38.4
48,2010,50.3
48,2011,51.3
48,2012,53.3
48,2013,56.1
48,2014,58.6
48,2015,60.3
48,2016,62.4
48,2017,64.7
50,1990,136.8
50,1995,170.7
50,2000,216.1
50,2005,276.8
50,2010,371.7
50,2011,395.7
50,2012,421.5
50,2013,446.8
50,2014,473.9
50,2015,505.0
50,2016,540.9
50,2017,580.3
52,1990,3.7
52,1995,3.5
52,2000,4.2
52,2005,4.4
52,2010,4.6
52,2011,4.6
52,2012,4.6
52,2013,4.6
52,2014,4.6
52,2015,4.7
52,2016,4.8
52,2017,4.8
112,1990,85.2
112,1995,55.7
112,2000,75.6
