Iso_code,Year,value
4,2005,23.2
4,2010,18.0
4,2011,16.7
4,2012,16.9
4,2013,17.3
4,2014,18.2
4,2015,19.5
4,2016,17.8
4,2017,19.2
8,1990,30.4
8,1995,21.3
8,2000,31.9
8,2005,37.9
8,2010,28.4
8,2011,29.4
8,2012,26.5
8,2013,26.1
8,2014,24.2
8,2015,24.4
8,2016,24.4
8,2017,24.5
8,2018,24.2
12,1990,27.0
12,1995,29.1
12,2000,20.7
12,2005,22.4
12,2010,36.3
12,2011,31.7
12,2012,30.8
12,2013,34.2
12,2014,37.4
12,2015,42.3
12,2016,43.0
12,2017,41.4
24,1990,0.0
24,2000,28.1
24,2005,27.8
24,2010,28.2
24,2011,26.4
24,2012,26.7
24,2013,26.2
24,2014,27.5
24,2015,28.2
24,2016,26.2
24,2017,23.2
32,1990,14.0
32,1995,17.9
32,2000,16.2
32,2005,17.4
32,2010,16.6
32,2011,17.2
32,2012,15.9
32,2013,16.3
32,2014,16.0
32,2015,15.6
32,2016,14.3
32,2017,15.0
32,2018,14.4
51,1990,44.3
51,1995,16.2
51,2000,18.4
51,2005,29.8
51,2010,30.0
51,2011,25.8
51,2012,23.6
51,2013,21.2
51,2014,20.0
51,2015,20.6
51,2016,17.4
51,2017,17.6
51,2018,16.7
36,1990,27.7
36,1995,25.2
36,2000,26.0
36,2005,27.1
36,2010,27.1
36,2011,26.1
36,2012,27.4
36,2013,27.9
36,2014,26.9
36,2015,26.2
36,2016,25.3
36,2017,23.9
36,2018,24.2
40,1990,25.4
40,1995,25.3
40,2000,25.6
40,2005,23.1
40,2010,21.6
40,2011,22.5
40,2012,22.6
40,2013,23.0
40,2014,22.7
40,2015,22.7
40,2016,23.2
40,2017,23.6
40,2018,23.9
31,1990,20.3
31,1995,15.6
31,2000,23.1
31,2005,41.3
31,2010,18.2
31,2011,20.2
31,2012,22.5
31,2013,25.8
31,2014,27.4
31,2015,27.8
31,2016,25.0
31,2017,23.8
31,2018,20.6
44,1990,25.6
44,1995,25.4
44,2000,28.0
44,2005,26.1
44,2010,26.7
44,2011,28.4
44,2012,30.3
44,2013,27.8
44,2014,31.0
44,2015,23.6
44,2016,24.0
44,2017,26.3
48,1990,18.9
48,1995,17.3
48,2000,16.4
48,2005,25.7
48,2010,26.0
48,2011,21.1
48,2012,26.8
48,2013,24.8
48,2014,25.6
48,2015,24.0
48,2016,22.3
48,2017,28.5
48,2018,28.7
50,1990,16.5
50,1995,19.1
50,2000,23.8
50,2005,25.8
50,2010,26.2
50,2011,27.4
50,2012,28.3
50,2013,28.4
50,2014,28.6
50,2015,28.9
50,2016,29.7
50,2017,30.5
50,2018,31.2
52,1990,14.9
52,1995,11.4
52,2000,17.6
52,2005,18.4
52,2010,15.6
52,2011,16.8
52,2012,15.7
52,2013,16.5
52,2014,16.5
52,2015,17.1
52,2016,16.9
52,2017,18.1
112,1990,21.9
112,1995,24.7
112,2000,25.2
112,2005,26.5
112,2010,37.9
112,2011,37.7
112,2012,33.4
112,2013,37.2
112,2014,33.2
112,2015,28.7
112,2016,25.4
112,2017,26.2
112,2018,25.9
56,1990,24.1
56,1995,21.3
56,2000,22.5
56,2005,22.2
56,2010,21.8
56,2011,22.6
56,2012,22.6
56,2013,22.2
56,2014,23.0
56,2015,23.1
56,2016,23.4
56,2017,23.5
56,2018,24.0
84,1990,24.7
84,1995,21.7
84,2000,28.7
84,2005,18.5
84,2010,15.3
84,2011,15.2
84,2012,14.6
84,2013,17.5
84,2014,17.6
84,2015,20.2
84,2016,21.1
84,2017,18.4
204,1990,12.6
204,1995,17.6
204,2000,24.6
204,2005,19.7
204,2010,23.3
204,2011,23.8
204,2012,21.3
204,2013,27.2
204,2014,28.6
204,2015,26.4
204,2016,24.6
204,2017,28.4
204,2018,25.8
64,1990,31.0
64,1995,43.1
64,2000,50.5
64,2005,52.1
64,2010,61.2
64,2011,68.0
64,2012,68.0
64,2013,46.4
64,2014,53.0
64,2015,54.2
64,2016,54.9
64,2017,51.4
68,1990,12.6
68,1995,15.5
68,2000,17.9
68,2005,13.0
68,2010,16.6
68,2011,19.0
68,2012,18.4
68,2013,19.1
68,2014,21.0
68,2015,21.4
68,2016,20.7
68,2017,21.3
68,2018,20.2
70,1995,12.3
70,2000,20.6
70,2005,27.1
70,2010,17.4
70,2011,18.5
70,2012,18.6
70,2013,18.0
70,2014,19.5
70,2015,17.8
70,2016,17.4
70,2017,18.0
70,2018,18.6
72,1990,32.4
72,1995,27.0
72,2000,25.1
72,2005,25.3
72,2010,33.6
72,2011,32.0
72,2012,36.2
72,2013,33.5
72,2014,30.5
72,2015,34.0
72,2016,31.1
72,2017,29.1
72,2018,30.2
76,1990,20.7
76,1995,20.3
76,2000,18.3
76,2005,17.1
76,2010,20.5
76,2011,20.6
76,2012,20.7
76,2013,20.9
76,2014,19.9
76,2015,17.8
76,2016,15.5
76,2017,15.0
76,2018,15.8
96,1990,18.7
96,1995,36.7
96,2000,13.0
96,2005,11.4
96,2010,23.5
96,2011,25.9
96,2012,32.8
96,2013,39.5
96,2014,27.3
96,2015,35.0
96,2016,34.4
96,2017,34.6
96,2018,40.9
100,1990,21.3
100,1995,16.8
100,2000,16.8
100,2005,25.9
100,2010,22.2
100,2011,20.9
100,2012,21.3
100,2013,21.2
100,2014,21.1
100,2015,21.0
100,2016,18.6
100,2017,18.5
100,2018,19.0
854,1990,17.7
854,1995,22.5
854,2000,21.2
854,2005,19.7
854,2010,24.5
854,2011,26.4
854,2012,29.3
854,2013,31.8
854,2014,24.9
854,2015,24.7
854,2016,25.0
854,2017,24.8
854,2018,22.8
108,1990,15.2
108,1995,6.4
108,2000,2.8
108,2005,18.3
108,2010,16.5
108,2011,15.4
108,2012,14.8
108,2013,13.4
108,2014,14.4
108,2015,12.3
108,2016,9.4
132,2010,45.2
132,2011,46.7
132,2012,35.1
132,2013,30.1
132,2014,34.5
116,1995,13.9
116,2000,18.2
116,2005,18.9
116,2010,16.2
116,2011,16.0
116,2012,17.4
116,2013,18.9
116,2014,21.0
116,2015,21.4
116,2016,21.7
116,2017,21.9
116,2018,22.6
120,1990,17.3
120,1995,19.8
120,2000,19.6
120,2005,21.7
120,2010,23.5
120,2011,24.2
120,2012,22.8
120,2013,22.6
120,2014,23.7
120,2015,23.0
120,2016,22.6
120,2017,23.0
120,2018,22.4
124,1990,21.8
124,1995,18.4
124,2000,19.7
124,2005,21.9
124,2010,23.5
124,2011,23.6
124,2012,24.6
124,2013,24.2
124,2014,24.4
124,2015,23.9
124,2016,23.0
124,2017,22.8
124,2018,22.5
140,1990,11.8
140,1995,13.1
140,2000,11.1
140,2005,9.9
140,2010,16.1
140,2011,13.4
140,2012,10.8
140,2013,6.3
140,2014,21.2
140,2015,20.9
140,2016,13.1
140,2017,10.8
148,1990,4.8
148,1995,14.4
148,2000,20.9
148,2005,20.6
148,2010,33.6
148,2011,28.3
148,2012,31.1
148,2013,28.6
148,2014,33.2
148,2015,27.8
148,2016,23.6
148,2017,20.5
148,2018,20.9
152,1990,24.0
152,1995,25.8
152,2000,21.0
152,2005,22.2
152,2010,21.6
152,2011,23.1
152,2012,24.9
152,2013,24.8
152,2014,23.9
152,2015,23.8
152,2016,22.7
152,2017,21.1
152,2018,21.3
156,1990,24.6
156,1995,33.2
156,2000,33.4
156,2005,40.5
156,2010,45.1
156,2011,45.0
156,2012,45.4
156,2013,45.7
156,2014,45.2
156,2015,44.0
156,2016,43.0
156,2017,42.6
170,1990,19.1
170,1995,22.4
170,2000,14.1
170,2005,19.7
170,2010,21.0
170,2011,21.4
170,2012,21.3
170,2013,21.5
170,2014,22.7
170,2015,23.4
170,2016,22.1
170,2017,21.7
170,2018,21.2
174,1990,17.1
174,1995,17.1
174,2000,17.1
174,2005,17.1
174,2010,17.9
174,2011,16.7
174,2012,16.7
174,2013,16.2
174,2014,15.2
174,2015,13.9
174,2016,15.8
174,2017,17.5
178,1990,17.2
178,1995,34.3
178,2000,20.9
178,2005,19.7
178,2010,20.3
178,2011,25.1
178,2012,25.8
178,2013,30.7
178,2014,41.0
178,2015,40.9
178,2016,27.5
178,2017,22.2
178,2018,17.8
180,1995,9.7
180,2000,14.4
180,2005,11.7
180,2010,28.7
180,2011,24.8
180,2012,14.2
180,2013,21.7
180,2014,23.1
180,2015,18.3
180,2016,36.8
180,2017,24.8
180,2018,25.6
188,1990,22.4
188,1995,19.9
188,2000,19.8
188,2005,20.0
188,2010,19.7
188,2011,19.7
188,2012,20.6
188,2013,19.5
188,2014,19.5
188,2015,18.6
188,2016,18.2
188,2017,17.2
188,2018,17.3
191,1995,14.4
191,2000,19.9
191,2005,25.4
191,2010,21.2
191,2011,20.2
191,2012,19.6
191,2013,19.7
191,2014,19.2
191,2015,19.6
191,2016,20.0
191,2017,20.1
191,2018,20.1
192,1990,24.5
192,1995,7.8
192,2000,11.9
192,2005,9.0
192,2010,8.6
192,2011,7.7
192,2012,7.8
192,2013,8.2
192,2014,7.3
192,2015,8.6
192,2016,8.8
192,2017,9.9
196,1990,24.6
196,1995,25.2
196,2000,20.1
196,2005,21.5
196,2010,22.3
196,2011,18.9
196,2012,15.1
196,2013,14.1
196,2014,11.7
196,2015,13.0
196,2016,17.7
196,2017,21.5
196,2018,19.4
203,1990,24.5
203,1995,33.3
203,2000,30.6
203,2005,28.2
203,2010,26.9
203,2011,26.5
203,2012,25.9
203,2013,25.1
203,2014,25.1
203,2015,26.5
203,2016,24.9
203,2017,24.8
203,2018,26.2
