Iso_code,Year,value
36,2000,56.8
36,2005,54.5
36,2010,53.2
36,2011,53.3
36,2012,53.6
36,2013,53.4
36,2014,54.1
36,2015,54.5
36,2016,52.6
36,2017,52.2
36,2018,52.0
40,2000,56.0
40,2005,53.3
40,2010,54.6
40,2011,54.0
40,2012,54.5
40,2013,55.0
40,2014,55.0
40,2015,54.6
40,2016,54.7
40,2017,54.3
40,2018,54.3
31,2013,18.6
31,2014,19.3
31,2015,22.1
56,2000,60.0
56,2005,58.7
56,2010,59.9
56,2011,60.3
56,2012,61.2
56,2013,61.7
56,2014,61.4
56,2015,60.3
56,2016,59.4
56,2017,59.4
56,2018,59.7
100,2000,49.7
100,2005,46.7
100,2010,49.9
100,2011,48.2
100,2012,49.9
100,2013,54.1
100,2014,56.1
100,2015,56.2
100,2016,56.3
100,2017,59.0
100,2018,58.2
124,2000,55.9
124,2005,54.0
124,2010,55.6
124,2011,54.8
124,2012,55.6
124,2013,55.6
124,2014,54.9
124,2015,56.6
124,2016,55.5
124,2017,54.7
124,2018,55.3
152,2011,37.2
152,2013,44.7
170,2010,33.4
170,2011,31.7
170,2012,32.4
170,2013,32.7
170,2014,32.9
170,2015,34.1
170,2016,33.5
191,2000,67.2
191,2005,63.0
191,2010,62.0
191,2011,61.0
191,2012,59.5
191,2013,57.2
191,2014,55.7
191,2015,55.3
191,2016,54.3
191,2017,52.8
191,2018,52.7
196,2000,51.7
196,2005,55.0
196,2010,54.6
196,2011,54.5
196,2012,54.3
196,2013,52.0
196,2014,50.7
196,2015,50.4
196,2016,50.0
196,2017,49.5
196,2018,48.9
203,2000,45.0
203,2005,46.9
203,2010,47.8
203,2011,48.1
203,2012,48.8
203,2013,48.4
203,2014,47.4
203,2015,46.5
203,2016,47.3
203,2017,48.3
203,2018,50.7
208,2000,53.9
208,2005,54.3
208,2010,56.4
208,2011,56.0
208,2012,55.2
208,2013,55.1
208,2014,54.9
208,2015,55.1
208,2016,55.0
208,2017,54.8
208,2018,55.9
233,2000,49.5
233,2005,47.5
233,2010,51.7
233,2011,49.1
233,2012,49.9
233,2013,50.2
233,2014,50.9
233,2015,52.5
233,2016,53.3
233,2017,53.7
233,2018,54.4
246,2000,53.1
246,2005,53.3
246,2010,56.1
246,2011,55.9
246,2012,57.1
246,2013,56.4
246,2014,56.1
246,2015,55.6
246,2016,54.9
246,2017,52.9
246,2018,52.7
250,2000,55.9
250,2005,56.2
250,2010,57.5
250,2011,57.5
250,2012,58.1
250,2013,58.4
250,2014,58.5
250,2015,58.0
250,2016,58.1
250,2017,58.1
250,2018,58.3
276,2000,58.8
276,2005,56.1
276,2010,55.8
276,2011,55.6
276,2012,56.5
276,2013,56.5
276,2014,56.3
276,2015,56.2
276,2016,56.2
276,2017,56.4
276,2018,56.9
300,2000,49.5
300,2005,53.9
300,2010,54.3
300,2011,53.1
300,2012,52.2
300,2013,49.8
300,2014,49.8
300,2015,49.4
300,2016,49.3
300,2017,49.3
300,2018,49.6
324,2010,14.9
348,2000,52.6
348,2005,52.8
348,2010,49.4
348,2011,49.1
348,2012,49.2
348,2013,48.2
348,2014,47.2
348,2015,45.2
348,2016,47.1
348,2017,47.2
348,2018,48.2
352,2000,59.9
352,2005,59.1
352,2010,49.5
352,2011,51.7
352,2012,52.5
352,2013,53.5
352,2014,53.7
352,2015,53.7
352,2016,55.2
352,2017,57.9
352,2018,58.3
368,2010,25.6
368,2011,21.1
368,2012,23.4
368,2013,25.7
368,2014,26.9
368,2015,34.3
368,2016,37.7
372,2000,47.2
372,2005,46.5
372,2010,50.1
372,2011,48.3
372,2012,47.4
372,2013,47.3
372,2014,45.0
372,2015,35.6
372,2016,36.2
372,2017,34.9
372,2018,34.3
380,2000,51.1
380,2005,52.1
380,2010,54.1
380,2011,53.6
380,2012,53.7
380,2013,53.4
380,2014,53.0
380,2015,52.9
380,2016,52.7
380,2017,52.2
380,2018,52.8
392,2000,62.4
392,2005,58.8
392,2010,58.5
392,2011,59.7
392,2012,59.1
392,2013,58.3
392,2014,57.9
392,2015,56.5
392,2016,57.2
392,2017,57.1
392,2018,57.9
410,2000,65.4
410,2005,65.6
410,2010,59.5
410,2011,59.7
410,2012,60.6
410,2013,60.7
410,2014,60.8
410,2015,60.3
410,2016,60.1
410,2017,59.5
410,2018,61.0
414,2010,28.2
414,2011,24.9
414,2012,24.2
414,2013,25.7
414,2014,28.7
414,2015,39.8
414,2016,41.4
428,2000,48.7
428,2005,45.6
428,2010,48.6
428,2011,44.7
428,2012,45.3
428,2013,46.9
428,2014,48.5
